model,accuracy,precision_fraud,recall_fraud,f1_fraud,roc_auc
Linear SVC tuned,0.9927293064876958,0.950920245398773,0.8959537572254336,0.9226190476190476,0.9919707024913413
Linear SVC tuned + stopwords,0.9916107382550335,0.949685534591195,0.8728323699421965,0.9096385542168675,0.9917464868638519
Logistic Regression tuned,0.9904921700223713,0.8926553672316384,0.9132947976878613,0.9028571428571429,0.9921354670054814
Linear SVC,0.9904921700223713,0.9316770186335404,0.8670520231213873,0.8982035928143712,0.9919129499812305
Linear SVC char ngrams,0.9862975391498882,0.8690476190476191,0.8439306358381503,0.8563049853372433,0.987141573484124
Logistic Regression,0.982662192393736,0.7681159420289855,0.9190751445086706,0.8368421052631578,0.9904861232608426
SGDClassifier,0.9779082774049217,0.7079646017699115,0.9248554913294798,0.8020050125313283,0.9899952269248997
Complement NB,0.9642058165548099,0.68,0.4913294797687861,0.5704697986577182,0.943789821629674
Multinomial NB,0.962248322147651,0.8275862068965517,0.2774566473988439,0.41558441558441556,0.943789821629674
